state_name;grade;id;created_at;updated_at;subject;national_average;below_basic;basic;proficient;advanced
National Average;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;57.41111026;22.33815132;33.77100194;32.7975186;11.09332813
National Average;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;language;61.88003463;29.44931995;31.76210613;26.02494743;12.7636265
National Average;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;math;56.94394351;23.3912938;34.34987545;30.08515235;12.1736784
National Average;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;48.48748114;34.03398726;33.79817702;26.1398152;6.028020518
National Average;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;language;55.19833154;21.46311177;36.97546027;31.51137588;10.05005209
National Average;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;math;43.71621283;34.3619357;40.79936143;19.22938614;5.60931673
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;language;52.97309821;21.39082501;44.82079681;21.69004882;12.09832936
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;math;36.02218948;27.43974264;45.84190738;18.71976255;7.998587427
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;39.38511521;37.06084392;35.04947933;19.44465332;8.44502343
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.33958349;38.9876441;41.02535738;11.53646309;8.450535436
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;43.18472;23.415964;17.139278;40.957005;18.487753
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.09475;30.302073;47.24295;16.902634;5.552343
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;41.25734;52.999435;36.527493;10.019287;0.45378292
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;34.924866;73.978836;17.350159;7.5460706;1.1249354
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;37.30951;61.652294;23.456585;12.647926;2.2431936
