state_name;grade;subject;state_id;rural_score;rural_standard error;urban_score;urban_standard error;category
Andaman & Nicobar Islands;3;evs;35;318.83;0;295.04;0;2
Andhra Pradesh;3;evs;28;299.33;0;295.61;0;2
Arunachal Pradesh;3;evs;12;292.66;0;279.81;0;2
Assam;3;evs;18;314.84;0;304.66;0;2
Bihar;3;evs;10;298.84;0;311.75;0;0
Chandigarh;3;evs;4;293.39;0;314.37;0;0
Chhattisgarh;3;evs;22;289.19;0;288.84;0;1
Dadra & Nagar Haveli;3;evs;26;278.05;0;275.06;0;2
Daman & Diu;3;evs;25;297.37;0;288.34;0;2
Delhi;3;evs;7;275.48;0;288.51;0;0
Goa;3;evs;30;315.43;0;302.73;0;2
Gujarat;3;evs;24;314.56;0;310.29;0;2
Haryana;3;evs;6;300.51;0;298.97;0;2
Himachal Pradesh;3;evs;2;301.41;0;303.68;0;0
Jammu & Kashmir;3;evs;1;307.52;0;314.77;0;0
Jharkhand;3;evs;20;297.5;0;303.7;0;0
Karnataka;3;evs;29;312.55;0;301.14;0;2
Kerala;3;evs;32;316.7;0;319.43;0;0
Ladakh;3;evs;37;300.52;0;289.95;0;2
Lakshadweep;3;evs;31;303.12;0;0;0;3
Madhya Pradesh;3;evs;23;321.51;0;306.93;0;2
Maharashtra;3;evs;27;318.42;0;314;0;2
Manipur;3;evs;14;315.89;0;315.61;0;1
Meghalaya;3;evs;17;290.59;0;295.43;0;0
Mizoram;3;evs;15;312.17;0;307.77;0;2
Nagaland;3;evs;13;303.92;0;302.2;0;2
Odisha;3;evs;21;308.62;0;309.06;0;0
Puducherry;3;evs;34;320.76;0;311.18;0;2
Punjab;3;evs;3;336.36;0;332.35;0;2
Rajasthan;3;evs;8;325.3;0;314.77;0;2
Sikkim;3;evs;11;308.03;0;310.6;0;0
Tamil Nadu;3;evs;33;302.49;0;315.31;0;0
Telangana;3;evs;36;281.44;0;281.54;0;1
Tripura;3;evs;16;299.42;0;293.52;0;2
Uttar Pradesh;3;evs;9;301.35;0;296.41;0;2
Uttarakhand;3;evs;5;298.82;0;292.89;0;2
West Bengal;3;evs;19;312.39;0;319.49;0;0
National Average;3;evs;0;305.01;0;302.94;0;3
Andaman & Nicobar Islands;3;language;35;326.03;0;321.91;0;2
Andhra Pradesh;3;language;28;312.95;0;308.45;0;2
Arunachal Pradesh;3;language;12;301.76;0;296.77;0;2
Assam;3;language;18;327.51;0;320.67;0;2
Bihar;3;language;10;314.49;0;329.87;0;0
Chandigarh;3;language;4;303.52;0;336.91;0;0
Chhattisgarh;3;language;22;300.84;0;300.31;0;2
Dadra & Nagar Haveli;3;language;26;290.55;0;289.24;0;2
Daman & Diu;3;language;25;308.15;0;302.58;0;2
Delhi;3;language;7;287.31;0;302.74;0;0
Goa;3;language;30;330.19;0;323.39;0;2
Gujarat;3;language;24;332.57;0;326.81;0;2
Haryana;3;language;6;313.47;0;316.61;0;0
Himachal Pradesh;3;language;2;316.88;0;323.77;0;0
Jammu & Kashmir;3;language;1;326.78;0;342.54;0;0
