state_name;grade;subject;state_id;score;standard error;category
West Bengal;3;language;19;337;0.4;2
National Average;3;language;0;323;0.1;3
Andaman & Nicobar Islands;3;math;35;290;3.3;0
Andhra Pradesh;3;math;28;298;0.5;0
Arunachal Pradesh;3;math;12;277;1.7;0
Assam;3;math;18;314;0.5;2
Bihar;3;math;10;304;0.3;0
Chandigarh;3;math;4;311;1.7;2
Chhattisgarh;3;math;22;283;0.5;0
Dadra & Nagar Haveli;3;math;26;272;3.1;0
Daman & Diu;3;math;25;294;4.2;0
Delhi;3;math;7;282;0.4;0
Goa;3;math;30;299;1.3;0
Gujarat;3;math;24;310;0.3;2
Haryana;3;math;6;299;0.4;0
Himachal Pradesh;3;math;2;296;1.1;0
Jammu & Kashmir;3;math;1;310;0.8;2
Jharkhand;3;math;20;298;0.4;0
Karnataka;3;math;29;306;0.4;1
Kerala;3;math;32;313;0.4;2
Ladakh;3;math;37;283;5.5;0
Lakshadweep;3;math;31;298;10.9;1
Madhya Pradesh;3;math;23;315;0.3;2
Maharashtra;3;math;27;316;0.2;2
Manipur;3;math;14;310;1.2;2
Meghalaya;3;math;17;279;0.9;0
Mizoram;3;math;15;303;2.1;1
Nagaland;3;math;13;292;1.7;0
Odisha;3;math;21;313;0.5;2
Puducherry;3;math;34;310;1.4;2
Punjab;3;math;3;339;0.5;2
Rajasthan;3;math;8;325;0.4;2
Sikkim;3;math;11;298;3.2;1
Tamil Nadu;3;math;33;304;0.4;0
Telangana;3;math;36;278;0.5;0
Tripura;3;math;16;292;1.3;0
Uttar Pradesh;3;math;9;298;0.2;0
Uttarakhand;3;math;5;291;0.8;0
West Bengal;3;math;19;314;0.4;2
National Average;3;math;0;306;0.1;3
Andaman & Nicobar Islands;5;evs;35;283;2.9;1
Andhra Pradesh;5;evs;28;270;0.4;0
Arunachal Pradesh;5;evs;12;271;1.6;0
Assam;5;evs;18;291;0.5;2
Bihar;5;evs;10;280;0.3;0
Chandigarh;5;evs;4;293;1.5;2
Chhattisgarh;5;evs;22;269;0.4;0
Dadra & Nagar Haveli;5;evs;26;260;1.9;0
Daman & Diu;5;evs;25;269;3;0
Delhi;5;evs;7;274;0.4;0
Goa;5;evs;30;278;1.2;0
Gujarat;5;evs;24;287;0.3;2
Haryana;5;evs;6;283;0.4;1
Himachal Pradesh;5;evs;2;275;0.9;0
Jammu & Kashmir;5;evs;1;297;0.7;2
Jharkhand;5;evs;20;278;0.4;0
Karnataka;5;evs;29;278;0.3;0
Kerala;5;evs;32;283;0.3;0
Ladakh;5;evs;37;285;5.1;1
Lakshadweep;5;evs;31;276;6.7;1
Madhya Pradesh;5;evs;23;297;0.3;2
Maharashtra;5;evs;27;291;0.2;2
Manipur;5;evs;14;288;1;2
Meghalaya;5;evs;17;265;0.9;0
Mizoram;5;evs;15;270;1.6;0
Nagaland;5;evs;13;274;1.4;0
Odisha;5;evs;21;282;0.4;0
Puducherry;5;evs;34;290;1.4;2
Punjab;5;evs;3;310;0.5;2
Rajasthan;5;evs;8;304;0.4;2
Sikkim;5;evs;11;276;2.9;0
Tamil Nadu;5;evs;33;277;0.3;0
Telangana;5;evs;36;260;0.4;0
Tripura;5;evs;16;277;1.2;0
Uttar Pradesh;5;evs;9;279;0.2;0
Uttarakhand;5;evs;5;278;0.7;0
West Bengal;5;evs;19;292;0.3;2
National Average;5;evs;0;284;0.1;3
Andaman & Nicobar Islands;5;language;35;311;3.2;1
Andhra Pradesh;5;language;28;294;0.4;0
Arunachal Pradesh;5;language;12;300;2;0
Assam;5;language;18;312;0.5;2
Bihar;5;language;10;305;0.3;0
Chandigarh;5;language;4;326;1.5;2
Chhattisgarh;5;language;22;295;0.5;0
Dadra & Nagar Haveli;5;language;26;285;2.2;0
Daman & Diu;5;language;25;296;3.2;0
Delhi;5;language;7;304;0.4;0
Goa;5;language;30;312;1.5;2
Gujarat;5;language;24;307;0.3;0
Haryana;5;language;6;312;0.4;2
Himachal Pradesh;5;language;2;304;1;0
Jammu & Kashmir;5;language;1;323;0.8;2
Jharkhand;5;language;20;303;0.4;0
Karnataka;5;language;29;312;0.3;2
Kerala;5;language;32;313;0.4;2
Ladakh;5;language;37;309;5;1
Lakshadweep;5;language;31;300;8.9;1
Madhya Pradesh;5;language;23;316;0.3;2
Maharashtra;5;language;27;317;0.2;2
Manipur;5;language;14;322;1.1;2
Meghalaya;5;language;17;294;1.1;0
Mizoram;5;language;15;302;1.9;0
Nagaland;5;language;13;306;1.7;1
Odisha;5;language;21;305;0.4;0
Puducherry;5;language;34;320;1.6;2
Punjab;5;language;3;339;0.4;2
Rajasthan;5;language;8;326;0.3;2
Sikkim;5;language;11;310;3.7;1
Tamil Nadu;5;language;33;298;0.3;0
Telangana;5;language;36;286;0.4;0
Tripura;5;language;16;304;1.3;0
Uttar Pradesh;5;language;9;302;0.2;0
Uttarakhand;5;language;5;304;0.8;0
West Bengal;5;language;19;318;0.4;2
National Average;5;language;0;309;0.1;3
Andaman & Nicobar Islands;5;math;35;278;2.4;0
Andhra Pradesh;5;math;28;275;0.4;0
Arunachal Pradesh;5;math;12;268;1.5;0
Assam;5;math;18;291;0.5;2
Bihar;5;math;10;283;0.3;0
Chandigarh;5;math;4;295;1.2;2
Chhattisgarh;5;math;22;266;0.4;0
Dadra & Nagar Haveli;5;math;26;264;1.7;0
Daman & Diu;5;math;25;273;3;0
Delhi;5;math;7;273;0.3;0
Goa;5;math;30;274;1.2;0
Gujarat;5;math;24;287;0.3;2
Haryana;5;math;6;286;0.4;2
Himachal Pradesh;5;math;2;270;0.7;0
Jammu & Kashmir;5;math;1;293;0.7;2
Jharkhand;5;math;20;276;0.4;0
Karnataka;5;math;29;285;0.3;1
Kerala;5;math;32;279;0.3;0
Ladakh;5;math;37;280;4.4;1
Lakshadweep;5;math;31;280;6.9;1
Madhya Pradesh;5;math;23;296;0.3;2
Maharashtra;5;math;27;287;0.2;2
Manipur;5;math;14;286;1;1
Meghalaya;5;math;17;262;0.9;0
Mizoram;5;math;15;270;1.4;0
Nagaland;5;math;13;267;1.2;0
Odisha;5;math;21;290;0.5;2
Puducherry;5;math;34;291;1.3;2
Punjab;5;math;3;316;0.5;2
Rajasthan;5;math;8;306;0.4;2
Sikkim;5;math;11;268;2.6;0
Tamil Nadu;5;math;33;279;0.3;0
Telangana;5;math;36;265;0.4;0
Tripura;5;math;16;275;1.1;0
Uttar Pradesh;5;math;9;278;0.2;0
Uttarakhand;5;math;5;275;0.6;0
West Bengal;5;math;19;288;0.3;2
National Average;5;math;0;284;0.1;3
Andaman & Nicobar Islands;8;language;35;307;4.1;1
Andhra Pradesh;8;language;28;292;0.5;0
Arunachal Pradesh;8;language;12;308;2.5;2
Assam;8;language;18;289;0.4;0
Bihar;8;language;10;291;0.3;0
Chandigarh;8;language;4;334;1.8;2
Chhattisgarh;8;language;22;295;0.5;0
Dadra & Nagar Haveli;8;language;26;311;5;1
Daman & Diu;8;language;25;302;4.6;1
Delhi;8;language;7;316;0.5;2
Goa;8;language;30;324;1.9;2
Gujarat;8;language;24;309;0.3;2
Haryana;8;language;6;325;0.5;2
Himachal Pradesh;8;language;2;315;1.2;2
Jammu & Kashmir;8;language;1;319;1.1;2
Jharkhand;8;language;20;298;0.5;0
Karnataka;8;language;29;297;0.3;0
Kerala;8;language;32;312;0.4;2
Ladakh;8;language;37;321;6.4;2
Lakshadweep;8;language;31;303;7.2;1
Madhya Pradesh;8;language;23;306;0.3;2
Maharashtra;8;language;27;310;0.3;2
Manipur;8;language;14;320;1.4;2
Meghalaya;8;language;17;280;1.2;0
Mizoram;8;language;15;297;2.7;1
Nagaland;8;language;13;312;1.8;2
Odisha;8;language;21;303;0.4;2
Puducherry;8;language;34;315;2;2
Punjab;8;language;3;338;0.5;2
Rajasthan;8;language;8;320;0.4;2
Sikkim;8;language;11;312;3.6;2
Tamil Nadu;8;language;33;284;0.3;0
Telangana;8;language;36;289;0.4;0
