state_name;grade;subject;state_id;sc_score;sc_standard error;st_score;st_standard error;obc_score;obc_standard error;general_score;general_standard error;general_category;st_category;obc_category
Telangana;10;sci;36;225.25;0;191.79;0;190.54;0;199.83;0;0;0;0
Tripura;10;sci;16;210.96;0;196.28;0;184.63;0;203.35;0;0;0;0
Uttar Pradesh;10;sci;9;201.32;0;183.48;0;182.4;0;189.83;0;0;0;0
Uttarakhand;10;sci;5;223.36;0;192.34;0;199.31;0;193.21;0;0;0;0
West Bengal;10;sci;19;217.77;0;194.33;0;186.26;0;197.46;0;0;0;0
National Average;10;sci;0;222.63;0;204.07;0;200.28;0;213.04;0;3;3;3
Andaman & Nicobar Islands;10;sst;35;248.58;0;234.89;0;219.61;0;242.4;0;0;0;0
Andhra Pradesh;10;sst;28;241.44;0;216.98;0;211.15;0;225.85;0;0;0;0
Arunachal Pradesh;10;sst;12;235.71;0;236.24;0;242.02;0;239.44;0;1;2;2
Assam;10;sst;18;227.03;0;220.91;0;222.83;0;227.33;0;0;0;1
Bihar;10;sst;10;240.07;0;209.13;0;213.19;0;219.04;0;0;0;0
Chandigarh;10;sst;4;293.81;0;251.26;0;0;0;272.72;0;0;3;0
Chhattisgarh;10;sst;22;243.8;0;209.96;0;210.52;0;215.93;0;0;0;0
Dadra & Nagar Haveli;10;sst;26;235.92;0;235.95;0;203.82;0;259.84;0;1;0;2
Daman & Diu;10;sst;25;253.41;0;224.31;0;216.63;0;219.86;0;0;0;0
Delhi;10;sst;7;266;0;234.63;0;250.12;0;252.15;0;0;0;0
Goa;10;sst;30;263.64;0;239.02;0;229.92;0;246.6;0;0;0;0
Gujarat;10;sst;24;246.44;0;232.04;0;219.6;0;226.56;0;0;0;0
Haryana;10;sst;6;265.57;0;237.33;0;243.35;0;247.34;0;0;0;0
Himachal Pradesh;10;sst;2;244.53;0;219.16;0;230.11;0;223.38;0;0;0;0
Jammu & Kashmir;10;sst;1;243.19;0;224.19;0;211.46;0;230.91;0;0;0;0
Jharkhand;10;sst;20;249.77;0;222.67;0;219.46;0;230.95;0;0;0;0
Karnataka;10;sst;29;251.66;0;228.07;0;227.73;0;233.47;0;0;0;0
Kerala;10;sst;32;258.13;0;230.31;0;209.57;0;233.34;0;0;0;0
Ladakh;10;sst;37;207.37;0;226.68;0;238.2;0;255;0;2;2;2
Lakshadweep;10;sst;31;290;0;0;0;229.56;0;243.76;0;3;0;0
Madhya Pradesh;10;sst;23;250.78;0;225.12;0;208.55;0;228.56;0;0;0;0
Maharashtra;10;sst;27;240.78;0;224.06;0;220.18;0;231.28;0;0;0;0
Manipur;10;sst;14;257.14;0;267.58;0;238.76;0;240.11;0;2;0;0
Meghalaya;10;sst;17;237.73;0;221.96;0;213.06;0;246.61;0;0;0;2
Mizoram;10;sst;15;237.73;0;162;0;217.47;0;254.73;0;0;0;2
Nagaland;10;sst;13;255.2;0;237.46;0;239.96;0;250.25;0;0;0;0
Odisha;10;sst;21;249.96;0;216.51;0;211.58;0;227.64;0;0;0;0
Puducherry;10;sst;34;276.93;0;235.3;0;286.68;0;251.11;0;0;2;0
Punjab;10;sst;3;274.19;0;263.18;0;267.65;0;269.12;0;0;0;0
Rajasthan;10;sst;8;273.01;0;257.75;0;242.37;0;263.34;0;0;0;0
Sikkim;10;sst;11;252.87;0;224.31;0;236.67;0;235.63;0;0;0;0
Tamil Nadu;10;sst;33;225.87;0;214.55;0;205.26;0;224.33;0;0;0;0
Telangana;10;sst;36;248.92;0;220.08;0;213.07;0;222.78;0;0;0;0
Tripura;10;sst;16;236.5;0;224.57;0;211.37;0;232.21;0;0;0;0
Uttar Pradesh;10;sst;9;224.63;0;207.6;0;204.76;0;211.85;0;0;0;0
Uttarakhand;10;sst;5;246.88;0;215.12;0;222.17;0;218.47;0;0;0;0
West Bengal;10;sst;19;244.06;0;223.58;0;210.22;0;224.3;0;0;0;0
National Average;10;sst;0;249.71;0;227.07;0;224.96;0;237.25;0;3;3;3
