district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;boys;boys_basic_and_below_basic;boys_proficient_and_advance;girls;girls_basic_and_below_basic;girls_proficient_and_advance;trans_gender
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;language;43.499393;85.753075;14.246928;47.175186;80.817215;19.182781;0
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;math;38.794506;88.568954;11.431047;40.153225;82.6305;17.369501;5.882353
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;evs;36.37478;88.77735;11.222648;37.721455;90.571785;9.428212;41.7
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;language;38.11877;84.88343;15.116572;42.90254;83.133575;16.866428;30
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;math;27.027254;97.5883;2.411697;29.845715;94.80231;5.1976943;22.5
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;language;33.49784;94.49986;5.5001397;32.768036;91.999886;8.000113;0
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;math;26.175987;97.1037;2.8962986;26.031063;96.426346;3.5736516;0
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;sci;28.047092;96.84689;3.1531081;28.009659;95.648476;4.3515234;0
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;sst;27.499481;97.91977;2.0802298;28.480017;96.63733;3.362673;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;eng;31.117914;63.365944;36.634056;31.17806;69.2202;30.7798;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;math;24.590776;97.50233;2.4976695;23.762285;97.38935;2.6106496;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;mil;26.133127;100;0;23.557678;100;0;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;sci;26.112392;100;0;27.181038;100;0;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;sst;28.66488;98.913574;1.086426;28.287659;100;0;0
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;language;25.368225;100;0;28.783499;96.26441;3.7355866;0
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;math;35;100;0;23.792807;100;0;0
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;sci;33.333332;100;0;25.767729;95.39363;4.606371;0
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;sst;63.333332;0;100;31.46875;100;0;0
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;eng;54.492256;22.289156;77.710846;58.43888;21.993128;78.006874;0
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;math;34.773724;65.54745;34.452557;28.230068;91.16203;8.837971;0
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;mil;17.250448;100;0;8.571428;100;0;0
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;sci;34.914726;80.937096;19.0629;45.19869;73.13061;26.869392;0
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;sst;40.3991;70.6938;29.306198;40.11501;71.01732;28.98268;0
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;evs;48.355343;74.25316;25.746838;50.659218;66.78565;33.214348;0
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;language;50.60214;74.99059;25.009409;55.044186;69.97988;30.020115;0
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;math;44.00526;79.45178;20.548216;46.952717;75.516556;24.483442;0
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;evs;33.578285;95.81736;4.1826406;34.93389;94.08356;5.916446;0
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;language;38.329796;87.93433;12.065664;42.819473;83.017296;16.982704;0
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;math;27.100674;98.197586;1.8024175;27.711256;96.64534;3.354663;0
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;language;40.800674;86.161674;13.838323;45.48561;81.822556;18.177446;96.666664
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;math;27.223824;94.85775;5.1422515;27.345861;95.756004;4.243996;50
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;sci;32.939857;91.96717;8.032826;31.594898;92.562546;7.4374533;0
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;sst;33.992397;93.77364;6.226357;32.265087;94.86037;5.13963;63.333332
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;eng;43.56097;35.927803;64.0722;45.350544;32.708794;67.29121;0
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;math;25.46967;93.89046;6.109539;24.847866;95.24184;4.7581596;0
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;mil;29.92135;97.27347;2.7265313;29.525055;97.7564;2.2435992;0
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;sci;31.16691;97.2844;2.7156014;32.500908;97.35022;2.6497786;0
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;sst;34.878128;93.75627;6.2437286;32.326973;96.20767;3.792331;0
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;evs;58.322052;53.807175;46.192825;57.407883;57.219765;42.780235;0
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;language;61.18844;60.38351;39.61649;60.738277;61.308132;38.691868;0
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;math;54.217823;62.727516;37.272484;50.273884;68.250786;31.749212;0
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;evs;45.83579;71.709015;28.290987;47.43739;71.07459;28.925406;0
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;language;57.175404;56.05757;43.94243;59.38475;53.93559;46.06441;0
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;math;39.06128;83.9857;16.014296;38.68437;82.48136;17.518639;0
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;language;53.913067;65.89399;34.106014;56.20222;58.200127;41.799873;0
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;math;30.181904;90.60495;9.395048;29.147337;91.52764;8.472361;0
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;sci;40.21324;72.69209;27.307909;38.92713;77.122475;22.877527;33.333332
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;sst;37.159897;86.966484;13.033518;37.136158;87.11002;12.889976;33.333332
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;eng;52.34512;24.267776;75.73222;56.296455;15.125901;84.8741;14.29
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;math;29.23018;85.427345;14.572655;26.04886;93.76385;6.236155;0
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;mil;26.775627;97.61643;2.3835664;30.833025;96.46347;3.5365317;0
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;sci;36.361725;92.5216;7.4783998;35.389343;94.334045;5.6659546;22.86
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;sst;38.438717;81.67495;18.325047;38.186947;87.03064;12.969358;0
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;evs;45.94337;73.98347;26.016533;45.84519;74.22813;25.771873;0
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;language;48.5389;77.850365;22.149637;47.78613;78.71998;21.280018;0
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;math;40.593998;80.734375;19.265625;41.781277;82.29513;17.70487;0
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;evs;39.670288;78.60584;21.394156;36.83413;87.72409;12.275909;0
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;language;48.05339;70.9899;29.0101;43.1687;77.885796;22.1142;0
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;math;36.01509;84.741234;15.258764;31.768568;91.06219;8.937813;0
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;language;44.421856;81.27676;18.72324;46.449448;78.53805;21.461952;0
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;math;29.006653;91.44898;8.551014;28.355513;93.2011;6.7988954;0
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;sci;34.11577;86.99355;13.00645;33.451633;89.29721;10.702786;0
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;sst;35.693874;91.812485;8.187514;33.248924;93.68417;6.315823;0
