district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;general;general_basic_and_below_basic;general_proficient_and_advance;obc;obc_basic_and_below_basic;obc_proficient_and_advance;sc;sc_basic_and_below_basic;sc_proficient_and_advance;st;st_basic_and_below_basic;st_proficient_and_advance
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;sst;0;0;0;0;0;0;0;0;0;41.24129;67.11353;32.886463
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;evs;45.782265;85.32;14.679998;35.753166;93.26101;6.738989;56.13884;39.33238;60.66762;49.358414;70.74602;29.253983
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;language;49.929153;83.78231;16.21769;39.858875;100;0;46.202606;22.712744;77.287254;53.598557;71.46678;28.53322
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;math;46.293198;89.55301;10.446993;40.226078;81.78348;18.216518;52.12736;31.054363;68.94563;45.273655;77.61943;22.380571
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;evs;49.216385;61.78449;38.21551;26.64358;100;0;29.27504;2.903266;97.09673;33.781204;95.81716;4.1828423
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;language;52.68954;61.06967;38.93033;35.544968;88.562675;11.437322;39.53363;16.215734;83.78426;39.6688;85.80558;14.194417
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;math;39.54024;77.90445;22.09555;23.758215;97.281425;2.718574;32.799713;0;100;26.529097;98.17394;1.8260583
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;language;59.211994;54.613255;45.386745;57.446835;59.702827;40.297173;39.24529;14.12037;85.87963;42.88589;85.15468;14.84532
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;math;31.571903;80.293564;19.706432;27.535484;100;0;29.790623;3.9477575;96.052246;27.110949;96.11501;3.8849838
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;sci;43.803253;71.23035;28.76965;38.768692;69.85827;30.14173;29.038689;2.7622082;97.23779;31.230488;94.73791;5.2620955
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;sst;39.52117;77.352425;22.647575;35.79743;100;0;33.438126;0;100;32.647625;94.85362;5.146374
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;eng;47.186813;37.170002;62.829998;53.43409;27.186296;72.813705;58.36;72.97878;27.02122;43.86081;33.990814;66.009186
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;math;26.987982;92.953926;7.0460753;29.831318;68.04708;31.952917;25.34333;0;100;24.91845;95.448235;4.5517654
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;mil;35.38332;97.38393;2.6160736;40.96685;92.749374;7.250623;28.07837;0;100;28.988668;97.58673;2.4132686
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;sci;30.688738;91.883446;8.116556;40.894188;81.083786;18.916212;42.617096;37.9222;62.0778;31.634779;98.86647;1.13353
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;sst;40.83977;86.66342;13.336576;44.33236;79.61373;20.38627;30.084272;0;100;32.774845;96.08182;3.918185
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;evs;65.22202;42.71282;57.28718;56.156036;60.917126;39.082874;74.07821;84.693146;15.306856;57.035976;56.891453;43.108547
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;language;70.40281;46.030647;53.969353;66.585045;90.01875;9.981248;63.30894;35.446712;64.55328;58.770912;62.843845;37.156155
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;math;57.422398;63.684822;36.315178;58.76816;62.92998;37.07002;56.827084;15.306856;84.693146;51.416782;65.22005;34.779953
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;evs;65.01277;32.41386;67.586136;44.331573;60.97508;39.02492;44.18238;27.533703;72.46629;43.986935;77.450615;22.549381
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;language;76.92574;21.781616;78.21838;55.356712;58.877094;41.122906;44.803024;33.03567;66.96433;55.51698;59.91516;40.08484
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;math;60.932297;46.732838;53.267162;39.0261;84.09662;15.903379;37.71712;15.997027;84.002975;36.144485;88.55666;11.443335
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;language;65.65204;44.324146;55.675854;62.320114;53.01027;46.98973;52.62572;31.882471;68.11753;52.730003;65.491806;34.50819
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;math;35.16138;78.62962;21.370378;35.862877;64.23143;35.76857;23.855373;0;100;28.288565;94.35043;5.6495667
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;sci;49.49297;54.601204;45.398796;40.772736;64.79324;35.206753;45.092785;49.88293;50.11707;37.58501;79.51014;20.489864
