district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;general;general_basic_and_below_basic;general_proficient_and_advance;obc;obc_basic_and_below_basic;obc_proficient_and_advance;sc;sc_basic_and_below_basic;sc_proficient_and_advance;st;st_basic_and_below_basic;st_proficient_and_advance
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;sci;40.655933;67.950485;32.049515;36.522854;86.86668;13.133326;25.281288;0;100;31.91209;89.35071;10.649296
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;sst;40.59175;71.26351;28.73649;33.743088;91.86431;8.135689;17.703762;0;100;31.994328;91.85691;8.143092
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;eng;60.060486;11.907562;88.09244;54.053516;8.069438;91.930565;62.902237;100;0;35.01132;52.075928;47.924072
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;math;40.130047;80.09609;19.903912;43.0259;64.93717;35.06283;32.54234;21.194077;78.80592;25.93271;95.79271;4.2072873
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;mil;28.458794;97.676186;2.3238146;47.326;94.64051;5.359489;18.96771;0;100;24.490665;100;0
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;sci;30.640957;93.45168;6.548313;37.81298;98.620186;1.379815;42.56938;23.273203;76.7268;30.857126;98.39263;1.6073662
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;sst;33.601673;90.24404;9.755961;47.12766;55.851063;44.148937;23.67741;0;100;30.256546;98.14023;1.8597687
South West Khasi Hills;Meghalaya;1710;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1710;17;evs;50.92836;65.23747;34.762527;39.04762;71.42857;28.571428;28.306011;29.508196;70.491806;46.80843;71.721275;28.278727
South West Khasi Hills;Meghalaya;1710;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1710;17;language;53.36167;65.23747;34.762527;34.285713;100;0;42.404373;0;100;49.798424;74.94195;25.05805
South West Khasi Hills;Meghalaya;1710;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1710;17;math;52.43459;65.23747;34.762527;24.369747;100;0;43.297974;29.508196;70.491806;42.99902;77.73459;22.265411
South West Khasi Hills;Meghalaya;1710;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;evs;74.93157;19.322906;80.67709;48.4281;60.37625;39.62375;25.961382;0;100;35.610832;88.61386;11.386137
South West Khasi Hills;Meghalaya;1710;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;language;79.58883;19.322906;80.67709;46.164547;60.37625;39.62375;42.93662;13.087105;86.912895;45.696125;75.2906;24.709396
South West Khasi Hills;Meghalaya;1710;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;math;74.69332;19.322906;80.67709;45.51848;86.79208;13.207916;27.50341;0;100;32.402744;89.23295;10.767055
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;language;30.626972;100;0;43.639877;100;0;46.3974;30.083565;69.916435;36.885803;92.82107;7.1789317
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;math;11.001063;100;0;26.666666;100;0;23.343643;0;100;28.024632;90.940704;9.059297
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;sci;15.460338;100;0;33.48148;100;0;38.61643;0;100;32.18902;93.0691;6.9308977
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;sst;31.875023;100;0;0;0;0;29.474451;0;100;32.2814;91.46261;8.53739
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;eng;0;0;0;0;0;0;30.992432;61.57837;38.42163;38.528736;46.53169;53.46831
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;math;21.428572;100;0;0;0;0;28.288544;0;100;25.954985;92.90574;7.094264
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;mil;0;0;0;0;0;0;0;0;0;22.930046;100;0
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;sci;0;0;0;0;0;0;21.627707;0;100;30.557009;99.23046;0.76953787
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;sst;34.285713;100;0;0;0;0;37.142857;0;100;33.028717;92.03446;7.965536
South West Garo Hills;Meghalaya;1711;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1711;17;evs;50.02737;60.95401;39.04599;58.596493;86.8421;13.157895;53.856995;55.54018;44.45982;41.893826;78.4518;21.548206
South West Garo Hills;Meghalaya;1711;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1711;17;language;54.359695;67.127846;32.87215;46.491226;86.8421;13.157895;62.833183;41.234375;58.765625;44.341206;81.132935;18.867065
South West Garo Hills;Meghalaya;1711;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1711;17;math;50.974716;60.11538;39.88462;52.012383;73.68421;26.31579;57.412815;55.54018;44.45982;38.370354;82.50302;17.496977
South West Garo Hills;Meghalaya;1711;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;evs;44.39549;67.00257;32.997425;34.375;100;0;36.933334;17.64351;82.35649;41.716595;78.44708;21.55292
South West Garo Hills;Meghalaya;1711;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;language;47.86946;65.04487;34.955128;41.666668;100;0;30.080599;14.293477;85.70652;44.620388;71.15712;28.84288
South West Garo Hills;Meghalaya;1711;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;math;46.38302;67.74543;32.254566;38.75;100;0;30.890196;18.090181;81.90982;32.820847;92.37387;7.626129
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;language;38.420208;96.262665;3.7373383;56.89863;48.113228;51.886772;43.70444;0;100;31.912552;94.16947;5.830528
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;math;31.714104;83.206474;16.79353;28.67105;100;0;18.480433;0;100;26.326313;94.6441;5.3559027
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;sci;29.086107;96.5272;3.472803;31.709204;95.83945;4.160554;30.403065;0;100;28.15067;96.4879;3.5120988
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;sst;32.424564;89.26733;10.732671;31.053158;100;0;16.738262;0;100;28.609875;97.38237;2.6176307
South West Garo Hills;Meghalaya;1711;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1711;17;eng;52.172894;15.776255;84.22375;0;0;0;38.10555;57.264084;42.735916;35.777607;64.33072;35.66928
