district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;district_percentage;district_standard_error;district_below_basic;district_basic;district_proficient;district_advanced;state_percentage;state_standard_error;state_below_basic;state_basic;state_proficient;state_advanced;national_percentage;national_standard_error;national_below_basic;national_basic;national_proficient;national_advanced
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;evs;49.630188;0.83;35.62055;34.842155;21.45681;8.080486;49.381336;0.28;34.95901;34.344273;23.754486;6.942231;57.41111;0.04;22.338152;33.771004;32.79752;11.093328
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;language;51.160324;0.92;47.82173;26.903177;17.579477;7.695614;51.86751;0.31;46.93215;25.717495;19.065428;8.284927;61.880035;0.04;29.44932;31.762106;26.024948;12.763626
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;math;44.16787;0.79;44.483673;32.120445;18.446438;4.949442;44.54553;0.26;42.390175;34.024353;18.645582;4.939891;56.943943;0.04;23.391294;34.349876;30.085152;12.173678
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;evs;37.549503;0.73354167;56.99788;27.989775;13.25096;1.7613839;39.53951;0.22940399;51.752796;31.055065;14.264533;2.9276075;48.48748;0.032;34.03399;33.798176;26.139814;6.0280204
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;42.606148;0.915177;37.67677;40.178326;17.125172;5.019737;46.987976;0.30008608;31.38561;41.106705;19.91013;7.597555;55.19833;0.039;21.463112;36.97546;31.511375;10.050052
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;31.744326;0.6640372;58.924263;33.49054;6.242225;1.3429736;33.18083;0.2069081;55.506123;34.687107;7.086099;2.7206717;43.716213;0.032;34.361935;40.799362;19.229385;5.609317
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;36.339653;0.69;52.647053;35.279842;10.008408;2.064698;43.523434;0.24;39.165756;40.257526;13.5062895;7.070429;52.9731;0.03;21.390825;44.820797;21.690048;12.09833
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;27.411705;0.42;41.141106;52.945435;5.7405057;0.17295657;28.01267;0.14;40.959145;52.333588;5.849989;0.8572795;36.02219;0.03;27.439743;45.841908;18.719763;7.9985876
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sci;30.369473;0.41;63.600952;30.599787;5.265202;0.53405887;33.52325;0.15;54.732357;32.74168;9.668647;2.8573163;39.385117;0.02;37.060844;35.04948;19.444653;8.445024
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sst;29.563246;0.39;68.188705;28.670141;3.0837233;0.05743391;32.80291;0.15;57.221928;35.55221;5.7424517;1.4834106;39.339584;0.02;38.987644;41.025356;11.536463;8.450536
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;eng;36.753296;0.66;31.481173;21.226818;38.43894;8.853072;43.88527;0.25;22.10411;16.603762;42.124184;19.167946;43.18472;0.03;23.415964;17.139278;40.957005;18.487753
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;math;25.932182;0.41;45.809204;47.22296;5.964091;1.0037435;26.41469;0.14;42.978863;49.357346;6.765574;0.89822;32.09475;0.02;30.302073;47.24295;16.902634;5.552343
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;mil;26.735731;0.6;91.69685;7.677833;0.62531066;0;26.821905;0.22;90.21523;8.218768;1.5323229;0.033678126;41.25734;0.02;52.999435;36.527493;10.019287;0.45378292
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;sci;29.220097;0.41;88.697945;8.727918;2.4489477;0.12519221;32.058937;0.15;82.239655;14.027573;3.3793352;0.35343412;34.924866;0.02;73.978836;17.350159;7.5460706;1.1249354
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;sst;30.267515;0.4;82.90158;15.370516;1.4774964;0.25040746;33.480972;0.16;73.24228;19.141594;6.9046354;0.7114876;37.30951;0.02;61.652294;23.456585;12.647926;2.2431936
East Garo Hills;Meghalaya;1702;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1702;17;evs;42.43023;0.87;46.400436;32.044094;15.465192;6.0902786;49.381336;0.28;34.95901;34.344273;23.754486;6.942231;57.41111;0.04;22.338152;33.771004;32.79752;11.093328
