district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;central_govt;central_govt_basic_and_below_basic;central_govt_proficient_and_advance;govt;govt_aided;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;govt_basic_and_below_basic;govt_proficient_and_advance;private;private_basic_and_below_basic;private_proficient_and_advance
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;sci;32.142857;100;0;27.950397;28.681982;98.29856954;1.701430462;100;0;28.220572;100;0
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;sst;28.571428;91.666664;8.333333;37.113094;29.61077179;99.24838941;0.751610594;85.416664;14.583333;29.714214;97.624504;2.3754966
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;evs;0;0;0;47.080368;41.241802;85.46704;14.532963;69.58934;30.41066;39.53089;84.253944;15.746059
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;language;0;0;0;50.93402;41.60283;88.452286;11.547711;76.99898;23.001022;41.670902;81.63021;18.369791
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;math;0;0;0;41.43462;38.553112;89.53588;10.464121;80.46871;19.531284;35.734234;86.87054;13.129462
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;evs;0;0;0;38.034344;36.897556;90.66113;9.338866;88.031425;11.9685755;35.21547;90.35453;9.645468
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;language;0;0;0;44.58144;39.180305;85.65973;14.340272;79.0242;20.975801;36.28039;90.54238;9.457615
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;math;0;0;0;30.044174;27.23047;98.98649;1.0135136;91.606606;8.393396;30.751955;94.82614;5.1738625
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;language;27.777779;100;0;31.615452;35.16932;92.37515;7.624848;93.745094;6.2549043;50.420925;70.28494;29.715061
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;math;23.61111;100;0;25.955101;26.63205;97.69727;2.302729;95.54956;4.4504423;27.383015;100;0
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;sci;28.61111;100;0;27.152876;28.618862;94.89148;5.1085215;97.07463;2.9253674;37.147816;87.61161;12.388392
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;sst;27.777779;100;0;26.744404;29.557856;95.47909;4.5209093;98.41846;1.5815415;28.985075;94.62687;5.373134
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;eng;34.57143;60;40;28.72521;30.76124868;68.5786023;31.4213977;73.14706;26.852942;32.893707;55.19656;44.80344
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;math;21.904762;100;0;25.737421;24.22982828;97.5464191;2.453580902;93.8343;6.1657033;23.633848;97.045044;2.9549549
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;mil;30.12987;100;0;22.55125;23.89688104;100;0;100;0;28.2356;100;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;sci;32;100;0;25.094963;26.54665728;100;0;100;0;24.843533;100;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;sst;28.83117;100;0;26.86953;28.5263792;99.61685824;0.383141762;100;0;28.187454;98.71622;1.2837838
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;language;0;0;0;25.416666;0;0;0;100;0;43.333332;80;20
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;math;0;0;0;23.333334;0;0;0;100;0;31.333334;100;0
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;sci;0;0;0;27.083334;0;0;0;100;0;33.333332;75;25
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;sst;0;0;0;30;0;0;0;100;0;49.166668;75;25
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;eng;0;0;0;0;0;0;0;0;0;56.61905;22.12963;77.87037
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;math;0;0;0;0;0;0;0;0;0;31.688713;77.62346;22.376543
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;mil;0;0;0;0;0;0;0;0;0;16.086956;100;0
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;sci;0;0;0;0;0;0;0;0;0;40.703064;76.54321;23.45679
