district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;rural;rural_basic_and_below_basic;rural_proficient_and_advance;urban;urban_basic_and_below_basic;urban_proficient_and_advance
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;evs;48.99415;70.08703;29.912973;50.472694;70.96033;29.039675
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;language;50.339417;73.74716;26.25284;52.251102;76.02409;23.975908
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;math;45.351063;71.28737;28.712633;42.591476;83.68776;16.312239
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;evs;36.256397;86.069885;13.930115;39.418655;83.42332;16.576681
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;39.03009;83.226;16.774;47.791;70.067924;29.932076
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;32.016964;90.547455;9.452546;31.351862;95.10286;4.897141
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;30.877234;94.176414;5.823584;47.11905;75.59425;24.405746
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;28.330862;92.55883;7.4411674;25.554668;97.173065;2.8269348
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sci;29.210768;96.08515;3.9148464;32.64361;90.50229;9.497711
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sst;29.25177;96.78762;3.2123811;30.171381;96.9979;3.0020971
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;eng;35.524494;54.739464;45.260536;40.813545;45.99552;54.00448
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;math;26.306292;93.00117;6.9988327;24.691383;93.13498;6.865023
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;mil;26.397602;99.61403;0.38597134;28.090115;98.41601;1.5839901
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;sci;29.075819;97.47476;2.5252373;29.705145;97.26145;2.7385452
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;sst;29.41715;99.676865;0.32313222;33.046;93.682144;6.3178573
East Garo Hills;Meghalaya;1702;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1702;17;evs;45.78739;71.73987;28.26013;36.257774;90.77168;9.228321
East Garo Hills;Meghalaya;1702;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1702;17;language;45.795166;75.305534;24.694466;37.68107;87.92159;12.078407
East Garo Hills;Meghalaya;1702;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1702;17;math;38.129345;79.335365;20.664635;34.434902;90.32804;9.671961
East Garo Hills;Meghalaya;1702;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;evs;32.506;94.19574;5.80426;31.089254;96.32678;3.6732204
East Garo Hills;Meghalaya;1702;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;language;35.86867;88.41389;11.586112;36.231297;88.784584;11.215419
East Garo Hills;Meghalaya;1702;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;math;28.070145;98.20547;1.7945318;24.082853;99.91601;0.08399454
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;language;30.406088;95.8482;4.151799;34.358932;94.263565;5.736433
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;math;24.536121;98.023445;1.9765555;24.50887;99.79865;0.20134708
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;sci;26.917545;97.969826;2.0301757;29.415747;96.36238;3.637618
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;sst;27.882189;98.39499;1.6050097;30.694942;98.07857;1.9214344
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;eng;30.241617;68.04632;31.95368;38.533062;51.553223;48.446777
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;math;24.53147;96.781845;3.218156;24.85573;95.612434;4.3875637
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;mil;22.948397;100;0;23.992992;100;0
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;sci;27.121832;100;0;31.187126;97.67706;2.3229375
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;sst;28.702524;98.33783;1.6621718;31.101864;96.55047;3.4495304
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;evs;42.955482;79.81494;20.185059;51.219116;69.23337;30.766636
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;language;44.661255;84.229385;15.770613;56.197403;67.45981;32.54019
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;math;39.23123;86.46084;13.539165;43.211308;72.67003;27.32997
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;evs;37.568787;89.16867;10.831328;28.899523;100;0
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;language;41.315674;83.21587;16.784128;29.64311;96.7719;3.2281005
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;math;28.697847;95.87222;4.127777;25.680506;100;0
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;language;32.83354;94.34046;5.6595407;34.41157;88.44105;11.558951
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;math;26.178082;96.845726;3.154271;25.773952;96.39897;3.6010313
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;sci;27.63189;96.78884;3.2111573;29.723257;93.57906;6.420936
South Garo Hills;Meghalaya;1703;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;sst;27.978916;97.457726;2.542277;28.331484;96.114365;3.8856337
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;eng;30.20763;69.924644;30.075357;36.023182;51.732937;48.267063
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;math;24.067017;98.767426;1.2325732;24.445457;90.71451;9.285495
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;mil;25.399744;100;0;20.756796;100;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;sci;26.6759;100;0;27.041632;100;0
South Garo Hills;Meghalaya;1703;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1703;17;sst;28.393467;99.640526;0.3594734;28.611792;99.34766;0.6523411
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;language;0;0;0;27.772507;97.370224;2.6297743
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;math;0;0;0;24.378445;100;0
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;sci;0;0;0;27.908995;96.69736;3.302646
West Khasi Hills;Meghalaya;1704;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1704;17;sst;0;0;0;32.51337;96.721695;3.2783089
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;eng;0;0;0;56.61905;22.12963;77.87037
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;math;0;0;0;31.688713;77.62346;22.376543
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;mil;0;0;0;16.086956;100;0
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;sci;0;0;0;40.703064;76.54321;23.45679
