"udise_state_code","urban_population","rural_population","total_population","total_district_area","year_id","is_active","lgd_state_id","lgd_district_id","inityear","density_of_population","udise_district_code","description","district_name","state_name","state_id","updated_at","child_sex_ratio","no_of_schools","state_govt_schools","govt_aided_schools","central_govt_schools","private_unaided_reco_schools","teacher_state_govt_schools","teacher_govt_aided_schools","teacher_central_govt_schools","teacher_private_unaided_reco_schools","created_at","district_id","id","literacy_rate"
8,"535432","1433736","1969168","10978",6,1,0,0,"1996-97","179",801,"","Ganganagar","Rajasthan",108,"2022-05-05T03:56:00","854","3037","1945","0","12","1080","11445","0","276","9309","2021-12-16T18:30:00",1701,"2","69.64"
8,"350464","1424228","1774692","9656",6,1,0,0,"1996-97","184",802,"","Hanumangarh","Rajasthan",108,"2022-05-05T03:56:00","878","2058","1098","0","2","958","8434","0","37","8679","2021-12-16T18:30:00",1702,"3","67.13"
8,"800384","1563553","2363937","30239",6,1,0,0,"1996-97","78",803,"","Bikaner","Rajasthan",108,"2022-05-05T03:56:00","908","3477","2045","0","5","1427","11734","0","157","11813","2021-12-16T18:30:00",1703,"4","65.13"
8,"576235","1463312","2039547","13835",6,1,0,0,"1996-97","147",804,"","Churu","Rajasthan",108,"2022-05-05T03:56:00","902","2554","1413","0","2","1139","10964","0","52","10885","2021-12-16T18:30:00",1704,"5","66.75"
8,"489079","1647966","2137045","5928",6,1,0,0,"1996-97","361",805,"","Jhunjhunu","Rajasthan",108,"2022-05-05T03:56:00","837","2736","1547","0","5","1184","10857","0","119","14303","2021-12-16T18:30:00",1705,"6","74.13"
8,"654451","3019728","3674179","8380",6,1,0,0,"1996-97","438",806,"","Alwar","Rajasthan",108,"2022-05-05T03:56:00","865","5082","2834","0","4","2244","19669","0","170","21039","2021-12-16T18:30:00",1706,"7","70.72"
8,"495099","2053363","2548462","5066",6,1,0,0,"1996-97","503",807,"","Bharatpur","Rajasthan",108,"2022-05-05T03:56:00","869","3246","1779","0","3","1464","12352","0","80","13044","2021-12-16T18:30:00",1707,"8","70.11"
8,"247450","959066","1206516","3033",6,1,0,0,"1997-98","398",808,"","Dhaulpur","Rajasthan",108,"2022-05-05T03:56:00","857","1816","1144","0","3","669","7201","0","46","5867","2021-12-16T18:30:00",1708,"9","69.08"
8,"218105","1240143","1458248","5524",6,1,0,0,"1996-97","264",809,"","Karauli","Rajasthan",108,"2022-05-05T03:56:00","852","2186","1452","0","2","732","8203","0","54","7205","2021-12-16T18:30:00",1709,"10","66.22"
8,"266467","1069084","1335551","4498",6,1,0,0,"1997-98","297",810,"","Sawai Madhopur","Rajasthan",108,"2022-05-05T03:56:00","871","1871","1090","0","4","777","7272","0","88","7074","2021-12-16T18:30:00",1710,"11","65.39"
8,"201793","1432616","1634409","3432",6,1,0,0,"1996-97","476",811,"","Dausa","Rajasthan",108,"2022-05-05T03:56:00","865","2557","1574","0","4","979","9623","0","66","8900","2021-12-16T18:30:00",1711,"12","68.16"
8,"3471847","3154331","6626178","11143",6,1,0,0,"1997-98","595",812,"","Jaipur","Rajasthan",108,"2022-05-05T03:56:00","861","9006","3781","0","10","5215","24794","0","573","59076","2021-12-16T18:30:00",1712,"13","75.51"
8,"633906","2043427","2677333","7732",6,1,0,0,"1996-97","346",813,"","Sikar","Rajasthan",108,"2022-05-05T03:56:00","848","3481","1992","0","2","1487","13883","0","60","16846","2021-12-16T18:30:00",1713,"14","71.91"
8,"637204","2670539","3307743","17718",6,1,0,0,"1996-97","187",814,"","Nagaur","Rajasthan",108,"2022-05-05T03:56:00","897","4724","3062","0","2","1660","19224","0","39","16581","2021-12-16T18:30:00",1714,"15","62.8"
8,"1264614","2422551","3687165","22850",6,1,0,0,"1996-97","161",815,"","Jodhpur","Rajasthan",108,"2022-05-05T03:56:00","891","5788","3576","0","9","2203","18760","0","297","22766","2021-12-16T18:30:00",1715,"16","65.94"
