"thumbnail","no_of_students","updated_at","created_at","teacher_private_unaided_reco_schools","teacher_central_govt_schools","teacher_govt_aided_schools","teacher_state_govt_schools","private_unaided_reco_schools","central_govt_schools","govt_aided_schools","state_govt_schools","no_of_schools","child_sex_ratio","literacy_rate","density_of_population","urban_population","rural_population","total_population","total_district_area","rank","map_id","view_order","is_ut","status","is_active","lgd_state_id","udise_state_code","description","state_name","state_id","id"
"","98476","2022-05-23T07:19:33","2021-12-16T18:30:00","137915","1715","410","95182","8235","57","17","14506","22815","834","75.6","573","8842103","16509359","25351462","44212",0,18,13,2,"A",1,0,6,"","Haryana",106,"12"
"","43573","2022-05-23T07:19:33","2021-12-16T18:30:00","34609","1110","0","67386","2753","49","0","15342","18144","909","82.8","123","688552","6176050","6864602","55673",0,21,14,2,"A",1,0,2,"","Himachal Pradesh",102,"13"
"","79256","2022-05-23T07:19:33","2021-12-16T18:30:00","69689","1124","17","100548","5649","56","1","23111","28817","860","67.2","290","3371233","8895780","12267013","163090",0,33,15,2,"2",2,0,1,null,"Jammu & Kashmir",101,"14"
"","113509","2022-05-23T07:19:33","2021-12-16T18:30:00","35115","1973","5611","119160","1542","203","1175","35685","38605","948","66.4","414","7933061","25055073","32988134","79716",0,29,16,2,"A",1,0,20,"","Jharkhand",120,"15"
"","211107","2022-05-23T07:19:33","2021-12-16T18:30:00","200527","2368","45573","205800","19915","101","7182","49690","76888","948","75.4","319","23625962","37469335","61095297","191791",0,2,17,2,"A",1,0,29,"","Karnataka",129,"16"
"","85566","2022-05-23T07:19:33","2021-12-16T18:30:00","72414","1907","116744","75138","3241","55","7191","4965","15452","964","94","859","15934926","17471135","33406061","38852",0,23,18,2,"A",1,0,32,"","Kerala",132,"17"
"","4831","2022-04-25T06:52:08","2021-12-16T18:30:00","1586","91","77","4421","112","6","29","909","1056","966","74.2","4.6","62009","212280","274289","59146",0,10,19,1,"A",1,0,37,"","Ladakh",137,"18"
"","1447","2022-05-23T07:19:33","2021-12-16T18:30:00","0","32","0","928","0","2","0","43","45","911","91.8","2013","50332","14141","64473","30",0,5,20,1,"A",1,0,31,"","Lakshadweep",131,"19"
"","240063","2022-05-23T07:19:33","2021-12-16T18:30:00","291841","4288","4790","301197","31512","178","773","98974","131437","918","69.3","236","20069405","52557404","72626809","308252",0,0,21,2,"A",1,0,23,"","Madhya Pradesh",123,"20"
"","216117","2022-05-23T07:19:33","2021-12-16T18:30:00","219168","3599","293014","246058","19632","116","23924","65618","109290","894","82.3","365","50818259","61556074","112374333","307713",0,20,22,2,"A",1,0,27,"","Maharashtra",127,"21"
