state_name;central_govt_school;central_govt_school_count;created_at;female_gender;female_gender_count;general_social_group;general_social_group_count;govt_aided_school;govt_aided_school_count;govt_school;govt_school_count;grade;id;male_gender;male_gender_count;obc_social_group;obc_social_group_count;private_school;private_school_count;rural_location;rural_location_count;sc_social_group;sc_social_group_count;st_social_group;st_social_group_count;state_id;total_school;total_student;total_teacher;trans_gender;trans_gender_count;updated_at;urban_location;urban_location_count
Lakshadweep;9.584664537;0;;46.00638978;0;0.980392157;0;0;0;90.41533546;0;3;31;53.99361022;0;1.633986928;0;0;0;100;0;0;0;97.38562092;0;31;12;313;35;0;0;;0;0
Lakshadweep;7.540983607;0;;52.45901639;0;0.655737705;0;0;0;92.45901639;0;5;68;47.54098361;0;1.639344262;0;0;0;100;0;0.983606557;0;96.72131148;0;31;12;305;36;0;0;;0;0
Lakshadweep;7.619047619;0;;57.61904762;0;0.483091787;0;0;0;92.38095238;0;8;105;42.38095238;0;1.93236715;0;0;0;100;0;0;0;97.58454106;0;31;17;414;67;0;0;;0;0
Lakshadweep;11.9760475;0;;58.682636;0;0.5988024;0;0;0;88.02395;0;10;142;41.317364;0;1.1976048;0;0;0;100;0;0;0;98.20359;0;31;15;415;74;0;0;;0;0
Kerala;8.535041335;0;;51.60277965;0;25.61560073;0;29.16511507;0;29.47046995;0;3;32;48.39722035;0;64.69178648;0;32.82937365;0;74.581068;0;7.759048091;0;1.454305074;0;32;590;13427;1646;0;0;;25.418932;0
Kerala;9.004386943;0;;52.02647431;0;25.71312804;0;30.25503755;0;29.16945498;0;5;69;47.97352569;0;64.31118314;0;31.57112053;0;73.33630753;0;7.568881686;0;2.188006483;0;32;529;13449;1574;0;0;;26.66369247;0
Kerala;5.959045939;0;;51.42659917;0;28.38989866;0;31.90428714;0;30.73855357;0;8;106;48.55806105;0;61.2353225;0;31.39811335;0;69.54521052;0;7.624256072;0;2.19559273;0;32;979;25950;3857;0.015339776;0;;30.45478948;0
Kerala;4.8687425;0;;51.659924;0;28.66212;0;31.868132;0;29.990843;0;10;143;48.32481;0;61.11764;0;33.27228;0;72.86325;0;7.6259894;0;2.2807431;0;32;1207;32740;5890;0.01526368;0;;27.136753;0
Tamil Nadu;4.323387266;0;;50.170774;0;9.6022951;0;29.78041605;0;33.66778735;0;3;33;49.829226;0;67.08668504;0;32.22840933;0;90.41815507;0;22.42223097;0;0.613151825;0;33;990;19036;2366;0;0;;9.581844925;0
Tamil Nadu;3.97792253;0;;50.44067121;0;9.226016087;0;29.37695788;0;34.7471533;0;5;70;49.55434945;0;68.3215256;0;31.89796629;0;89.73198747;0;21.57353646;0;0.751078677;0;33;974;20111;2389;0.004979336;0;;10.26801253;0
Tamil Nadu;2.796432319;0;;51.76612607;0;12.53296703;0;32.13536201;0;30.97586569;0;8;107;48.22862541;0;65.37912088;0;34.09233998;0;89.08709339;0;20.99450549;0;0.956043956;0;33;1489;37819;5762;0.005248517;0;;10.91290661;0
Tamil Nadu;2.0923045;0;;54.492474;0;12.792212;0;28.846447;0;33.983486;0;10;144;45.502457;0;65.31994;0;35.077766;0;89.183846;0;21.028791;0;0.70286876;0;33;1749;49287;8484;0.005067653;0;;10.816151;0
Puducherry;5.080440305;0;;53.45192715;0;7.583371402;0;16.34208298;0;41.6596105;0;3;34;46.54807285;0;74.6002741;0;36.91786622;0;37.29889924;0;16.99406122;0;0.411146642;0;34;116;2362;325;0;0;;62.70110076;0
Puducherry;4.919388177;0;;49.31789996;0;11.88780053;0;16.99049194;0;41.25671765;0;5;71;50.68210004;0;71.32680321;0;36.83340223;0;34.22902026;0;16.16206589;0;0.445235975;0;34;111;2419;318;0;0;;65.77097974;0
Puducherry;6.194690265;0;;52.82131661;0;12.44541485;0;17.49089016;0;37.27225403;0;8;108;47.17868339;0;70.08733624;0;39.04216554;0;43.7272254;0;16.92139738;0;0.38209607;0;34;156;3797;616;0;0;;56.2727746;0
Puducherry;5.326087;0;;56.086956;0;13.024035;0;16.630434;0;37.22826;0;10;145;43.913044;0;69.31246;0;40.815216;0;46.032608;0;16.825043;0;0.39128006;0;34;178;4520;869;0;0;;53.967392;0
Andaman & Nicobar Islands;4.784688995;0;;51.19617225;0;59.75395431;0;3.03030303;0;58.29346093;0;3;35;48.80382775;0;25.21968366;0;33.89154705;0;68.42105263;0;0.527240773;0;14.49912127;0;35;69;1254;197;0;0;;31.57894737;0
Andaman & Nicobar Islands;4.962779156;0;;50.45492142;0;56.55462185;0;4.383788255;0;56.65839537;0;5;72;49.54507858;0;26.13445378;0;33.99503722;0;64.681555;0;1.260504202;0;16.05042017;0;35;67;1209;187;0;0;;35.318445;0
Andaman & Nicobar Islands;5.327102804;0;;49.90654206;0;56.75413022;0;2.803738318;0;62.52336449;0;8;109;50.09345794;0;26.82215743;0;29.34579439;0;68.31775701;0;0.388726919;0;16.03498542;0;35;100;2107;372;0;0;;31.68224299;0
Andaman & Nicobar Islands;5.365297;0;;50.971428;0;55.79793;0;2.739726;0;72.26028;0;10;146;49.028572;0;28.70264;0;19.634703;0;66.438354;0;0.3444317;0;15.154994;0;35;89;2184;386;0;0;;33.561646;0
Telangana;6.040601389;0;;49.10285473;0;11.37964009;0;8.627795161;0;46.23750286;0;3;36;50.89714527;0;59.84960445;0;39.09410059;0;55.83454171;0;17.78666435;0;10.8232635;0;36;1330;26206;3601;0;0;;44.16545829;0
Telangana;14.1752787;0;;51.79495538;0;12.87686161;0;9.728212222;0;36.69541867;0;5;73;48.19689499;0;57.18307301;0;39.40109041;0;50.26853283;0;18.54340719;0;11.17417363;0;36;1151;24578;3207;0.008149627;0;;49.73146717;0
Telangana;10.81811405;0;;52.70786726;0;15.92574499;0;4.933842713;0;39.52199031;0;8;110;47.28747204;0;55.42256961;0;44.72605293;0;47.58199776;0;16.32144602;0;11.86126038;0;36;1666;42603;6449;0.004660701;0;;52.41800224;0
Telangana;8.006528;0;;53.211628;0;14.886156;0;4.641674;0;41.83747;0;10;147;46.778767;0;57.075123;0;45.514328;0;48.32717;0;16.091272;0;11.433793;0;36;2009;52033;9561;0.009608455;0;;51.67283;0
Ladakh;7.084468665;0;;50.40871935;0;5.943536404;0;1.226158038;0;30.38147139;0;3;37;49.59128065;0;0.14858841;0;61.30790191;0;54.90463215;0;0.29717682;0;93.16493314;0;37;61;734;183;0;0;;45.09536785;0
Ladakh;6.086956522;0;;47.53623188;0;2.286585366;0;2.028985507;0;32.75362319;0;5;74;52.46376812;0;0.152439024;0;59.13043478;0;59.27536232;0;0.304878049;0;97.10365854;0;37;62;690;205;0;0;;40.72463768;0
Ladakh;9.003601441;0;;53.8647343;0;4.021447721;0;0.840336134;0;34.93397359;0;8;111;46.1352657;0;0.134048257;0;55.22208884;0;65.30612245;0;0.402144772;0;95.17426273;0;37;119;1606;448;0;0;;34.69387755;0
Ladakh;6.4738293;0;;54.95868;0;1.9490255;0;0;0;55.23416;0;10;148;45.04132;0;0.29985008;0;38.29201;0;69.146;0;0.8995502;0;96.85158;0;37;84;1801;422;0;0;;30.853994;0
